t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562728322.8291323,+1.5989,+002.11,+1.6863,0,000,+000.95
1562728366.8770025,+1.5989,+002.10,+1.6864,0,000,+000.95
1562728410.9217572,+1.5989,+002.10,+1.6864,0,000,+000.95
1562728454.9698465,+1.5989,+002.11,+1.6862,0,000,+000.95
1562728499.0175202,+1.5988,+002.11,+1.6862,0,000,+000.95
1562728543.0655048,+1.5988,+002.11,+1.6863,0,000,+000.95
1562728587.1134415,+1.5989,+002.11,+1.6864,0,000,+000.95
1562728631.1610596,+1.5988,+002.11,+1.6863,0,000,+000.95
1562728675.20875,+1.5989,+002.11,+1.6863,0,000,+000.95
1562728719.2564445,+1.5990,+002.10,+1.6864,0,000,+000.95
1562728763.3043435,+1.5989,+002.10,+1.6864,0,000,+000.95
1562728807.352303,+1.5989,+002.10,+1.6864,0,000,+000.95
1562728851.4003832,+1.5989,+002.10,+1.6864,0,000,+000.95
1562728895.4464688,+1.5988,+002.10,+1.6863,0,000,+000.95
1562728939.494452,+1.5988,+002.11,+1.6863,0,000,+000.95
1562728983.542632,+1.5988,+002.11,+1.6862,0,000,+000.95
1562729027.5906227,+1.5988,+002.11,+1.6862,0,000,+000.95
1562729071.6386318,+1.5987,+002.11,+1.6862,0,000,+000.95
1562729115.6865158,+1.5987,+002.11,+1.6863,0,000,+000.95
1562729159.7343519,+1.5988,+002.11,+1.6862,0,000,+000.95
1562729203.7823613,+1.5987,+002.11,+1.6862,0,000,+000.95
1562729247.8303628,+1.5987,+002.11,+1.6862,0,000,+000.95
1562729291.8781667,+1.5988,+002.11,+1.6864,0,000,+000.95
1562729335.9260578,+1.5989,+002.10,+1.6864,0,000,+000.95
1562729379.971943,+1.5988,+002.10,+1.6864,0,000,+000.95
1562729424.0198915,+1.5990,+002.10,+1.6864,0,000,+000.95
1562729468.0678632,+1.5990,+002.10,+1.6864,0,000,+000.95
1562729512.1159527,+1.5990,+002.10,+1.6865,0,000,+000.95
1562729556.1638272,+1.5990,+002.10,+1.6865,0,000,+000.95
