#time	diode A	diode B
1519942430.3	11.032591	11.238997
1519942450.4	11.032929	11.239247
1519942470.4	11.033538	11.239950
1519942490.5	11.033771	11.240146
1519942510.6	11.033624	11.240038
1519942530.7	11.033906	11.240374
1519942550.7	11.033051	11.239383
1519942570.8	11.033383	11.239811
1519942590.9	11.033147	11.239596
1519942611.0	11.033841	11.240263
1519942631.0	11.033720	11.240162
1519942651.1	11.033678	11.240059
1519942671.2	11.033325	11.239693
1519942691.2	11.033354	11.239709
1519942711.3	11.033390	11.239788
1519942731.4	11.033179	11.239546
1519942751.4	11.033371	11.239759
1519942771.5	11.033741	11.240128
1519942791.6	11.033609	11.239995
1519942811.7	11.033144	11.239491
1519942831.7	11.033356	11.239752
1519942851.8	11.033476	11.239924
1519942871.9	11.033605	11.239978
1519942892.0	11.033717	11.240168
1519942912.0	11.033428	11.239851
1519942932.1	11.033195	11.239625
1519942952.2	11.033268	11.239677
1519942972.3	11.033869	11.240242
1519942992.3	11.033553	11.239845
1519943012.4	11.033206	11.239627
1519943032.5	11.033251	11.239721
1519943052.5	11.033737	11.240160
1519943072.6	11.033936	11.240486
1519943092.7	11.034029	11.240450
1519943112.8	11.034050	11.240504
1519943132.8	11.034438	11.240914
1519943152.9	11.033926	11.240396
1519943173.0	11.033917	11.240322
1519943193.0	11.034049	11.240539
1519943213.1	11.033774	11.240194
1519943233.2	11.033879	11.240351
1519943253.3	11.034490	11.240910
1519943273.3	11.034286	11.240753
1519943293.4	11.034683	11.241175
1519943313.5	11.034344	11.240798
1519943333.6	11.034921	11.241398
1519943353.6	11.034322	11.240782
1519943373.7	11.034589	11.241043
1519943393.8	11.034283	11.240659
1519943413.8	11.034234	11.240658
1519943433.9	11.034045	11.240419
1519943454.0	11.034126	11.240553
1519943474.0	11.034561	11.240973
1519943494.1	11.034656	11.241034
1519943514.2	11.034370	11.240774
1519943534.2	11.033994	11.240451
1519943554.3	11.034922	11.241405
1519943574.4	11.034940	11.241290
1519943594.5	11.035089	11.241554
1519943614.5	11.035369	11.241817
1519943634.6	11.035192	11.241620
1519943654.7	11.035092	11.241539
1519943674.7	11.035161	11.241639
1519943694.8	11.035104	11.241568
1519943714.9	11.035064	11.241530
1519943735.0	11.035108	11.241586
1519943755.0	11.035028	11.241504
1519943775.1	11.034972	11.241399
1519943795.2	11.034351	11.240736
1519943815.2	11.034872	11.241304
1519943835.3	11.035182	11.241624
1519943855.4	11.034983	11.241488
1519943875.5	11.035351	11.241800
1519943895.5	11.035567	11.241982
1519943915.6	11.035041	11.241545
1519943935.7	11.034820	11.241271
1519943955.7	11.035152	11.241603
1519943975.8	11.034739	11.241199
1519943995.9	11.035202	11.241759
1519944016.0	11.034934	11.241438
1519944036.1	11.035270	11.241720
1519944056.1	11.034834	11.241351
1519944076.2	11.035235	11.241768
1519944096.3	11.035867	11.242349
1519944116.3	11.035602	11.242146
1519944136.4	11.035490	11.241973
1519944156.5	11.034996	11.241446
1519944176.5	11.035549	11.242005
1519944196.6	11.035792	11.242285
1519944216.6	11.036053	11.242591
1519944236.7	11.035604	11.242056
1519944256.8	11.035439	11.241904
1519944276.8	11.035830	11.242382
1519944296.9	11.035626	11.242086
1519944317.0	11.035602	11.242090
1519944337.1	11.035705	11.242134
1519944357.1	11.035412	11.241891
1519944377.2	11.036117	11.242651
1519944397.3	11.036379	11.242884
1519944417.3	11.036568	11.243114
1519944437.4	11.036185	11.242644
1519944457.5	11.036154	11.242721
1519944477.6	11.035718	11.242190
1519944497.6	11.035865	11.242423
1519944517.7	11.036325	11.242857
1519944537.8	11.035544	11.242090
1519944557.8	11.035694	11.242179
1519944577.9	11.036154	11.242704
1519944598.0	11.035485	11.241960
1519944618.0	11.035892	11.242408
1519944638.1	11.035649	11.242138
1519944658.2	11.036257	11.242777
1519944678.2	11.036280	11.242830
1519944698.3	11.035799	11.242239
1519944718.4	11.035761	11.242267
1519944738.5	11.036229	11.242795
1519944758.5	11.036119	11.242646
1519944778.6	11.036471	11.242942
1519944798.7	11.036578	11.243071
1519944818.7	11.036365	11.242819
1519944838.8	11.036543	11.243097
1519944858.9	11.036158	11.242675
1519944878.9	11.036718	11.243257
1519944899.0	11.036957	11.243591
1519944919.1	11.036633	11.243169
1519944939.1	11.036630	11.243140
1519944959.2	11.036722	11.243251
1519944979.3	11.036530	11.243106
1519944999.4	11.036390	11.242973
1519945019.4	11.036219	11.242754
1519945039.5	11.036729	11.243315
1519945059.6	11.036633	11.243133
1519945079.7	11.036477	11.242960
1519945099.8	11.036286	11.242805
1519945119.8	11.035905	11.242387
1519945139.9	11.036573	11.243094
1519945160.0	11.036366	11.242944
1519945180.1	11.036221	11.242744
1519945200.1	11.036575	11.243120
1519945220.2	11.036701	11.243218
1519945240.3	11.036933	11.243532
1519945260.3	11.037119	11.243756
1519945280.4	11.036964	11.243530
1519945300.4	11.036811	11.243356
1519945320.5	11.037484	11.244026
1519945340.6	11.036812	11.243402
1519945360.7	11.037006	11.243592
1519945380.7	11.037168	11.243712
1519945400.8	11.037677	11.244299
1519945420.9	11.036853	11.243410
1519945440.9	11.037209	11.243683
1519945461.0	11.037363	11.244006
1519945481.1	11.037162	11.243703
1519945501.2	11.037040	11.243617
1519945521.2	11.037500	11.244125
1519945541.3	11.036787	11.243419
1519945561.4	11.037197	11.243730
1519945581.4	11.037738	11.244347
1519945601.5	11.037799	11.244392
1519945621.6	11.037666	11.244316
1519945641.7	11.038041	11.244613
1519945661.7	11.037451	11.244068
1519945681.8	11.037311	11.243940
1519945701.9	11.037333	11.243962
1519945721.9	11.037656	11.244279
1519945742.0	11.038491	11.245150
1519945762.1	11.038297	11.244912
1519945782.1	11.038150	11.244820
1519945802.2	11.037726	11.244410
1519945822.3	11.037449	11.244102
1519945842.4	11.038034	11.244675
1519945862.4	11.038044	11.244629
1519945882.5	11.038020	11.244612
1519945902.6	11.037601	11.244199
1519945922.6	11.037621	11.244264
1519945942.7	11.038295	11.244891
1519945962.8	11.038283	11.244873
1519945982.9	11.037825	11.244445
1519946002.9	11.037575	11.244161
1519946023.0	11.037817	11.244352
1519946043.1	11.037548	11.244174
1519946063.1	11.038207	11.244735
1519946083.2	11.038060	11.244742
1519946103.3	11.038314	11.244949
1519946123.3	11.038209	11.244838
1519946143.4	11.038704	11.245318
1519946163.5	11.038575	11.245206
1519946183.5	11.038015	11.244638
1519946203.6	11.038214	11.244844
1519946223.7	11.038094	11.244721
1519946243.8	11.038304	11.244922
1519946263.9	11.038663	11.245261
1519946283.9	11.038167	11.244824
1519946304.0	11.038166	11.244796
1519946324.1	11.038002	11.244681
1519946344.1	11.038292	11.244876
1519946364.2	11.037996	11.244627
1519946384.3	11.037842	11.244398
1519946404.3	11.038416	11.245051
1519946424.4	11.037961	11.244568
1519946444.5	11.038458	11.245088
1519946464.6	11.037983	11.244670
1519946484.6	11.038050	11.244646
1519946504.7	11.038060	11.244707
1519946524.8	11.037810	11.244424
1519946544.9	11.038020	11.244596
1519946564.9	11.038269	11.244880
1519946585.0	11.038577	11.245218
1519946605.1	11.038495	11.245197
1519946625.2	11.038134	11.244785
1519946645.2	11.038218	11.244804
1519946665.3	11.038346	11.244944
1519946685.4	11.038966	11.245605
1519946705.4	11.038748	11.245398
1519946725.5	11.038779	11.245474
1519946745.6	11.038912	11.245571
1519946765.6	11.038561	11.245237
1519946785.7	11.038703	11.245309
1519946805.8	11.039108	11.245780
1519946825.8	11.039325	11.245971
1519946845.9	11.039060	11.245737
1519946866.0	11.038668	11.245401
1519946886.0	11.038290	11.244900
1519946906.1	11.038860	11.245528
1519946926.2	11.039046	11.245691
1519946946.2	11.038835	11.245545
1519946966.3	11.039068	11.245728
1519946986.4	11.039250	11.245945
1519947006.5	11.039122	11.245763
1519947026.5	11.038266	11.244893
1519947046.6	11.037635	11.244220
1519947066.7	11.038413	11.245066
1519947086.7	11.038282	11.244965
1519947106.8	11.038406	11.245007
1519947126.9	11.038610	11.245306
1519947147.0	11.038201	11.244877
1519947167.0	11.038260	11.244926
1519947187.1	11.038416	11.245074
1519947207.2	11.039246	11.245862
1519947227.2	11.039179	11.245779
1519947247.3	11.038954	11.245601
1519947267.4	11.038978	11.245661
1519947287.4	11.039144	11.245839
1519947307.5	11.039058	11.245706
1519947327.6	11.039200	11.245820
1519947347.6	11.038943	11.245554
1519947367.7	11.038861	11.245513
1519947387.8	11.039042	11.245694
1519947407.8	11.039418	11.246084
1519947427.9	11.038909	11.245575
1519947448.0	11.038426	11.245025
1519947468.1	11.038995	11.245611
1519947488.1	11.038189	11.244817
1519947508.2	11.038471	11.245110
1519947528.3	11.038314	11.244897
1519947548.3	11.038899	11.245569
1519947568.4	11.038641	11.245266
1519947588.5	11.038912	11.245540
1519947608.5	11.039271	11.245893
1519947628.6	11.039150	11.245848
1519947648.7	11.038648	11.245332
1519947668.7	11.039252	11.245936
1519947688.8	11.038878	11.245511
1519947708.9	11.038572	11.245212
1519947728.9	11.038531	11.245120
1519947749.0	11.038853	11.245518
1519947769.1	11.039442	11.246138
1519947789.2	11.038835	11.245500
1519947809.2	11.038609	11.245298
1519947829.3	11.039163	11.245815
1519947849.4	11.039843	11.246446
1519947869.5	11.039224	11.245961
1519947889.5	11.039101	11.245788
1519947909.6	11.039339	11.246009
1519947929.7	11.038733	11.245394
1519947949.7	11.038915	11.245623
