t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1564257579.2986326,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257611.33415,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257643.3698432,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257675.4054592,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257707.4411538,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257739.4767177,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257771.5124066,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257803.5480328,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257835.5836961,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257867.619269,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257899.6550014,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257931.6906316,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257963.726252,+0.5735,+295.0,+0.5309,0,000,+324.9
1564257995.7618406,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258027.7974572,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258059.8322,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258091.8676503,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258123.9032674,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258155.9372857,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258187.9729962,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258220.0085433,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258252.0442119,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258284.0797353,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258316.1153836,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258348.1508749,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258380.1862662,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258412.2217603,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258444.2572627,+0.5735,+295.0,+0.5309,0,000,+324.9
1564258476.2926948,+0.5735,+295.0,+0.5309,0,000,+324.9
